name,type,category,power,accuracy,pp,description
Absorb,Grass,Special,20,100,20,User recovers 50% of the damage dealt.
Acid,Poison,Physical,40,100,30,10% chance to lower the target's Defense by 1.
Acid Armor,Poison,Non-Damaging,0,0,40,Raises the user's Defense by 2.
Aeroblast,Flying,Physical,100,95,5,High critical hit ratio.
Agility,Psychic,Non-Damaging,0,0,30,Raises the user's Speed by 2.
Amnesia,Psychic,Non-Damaging,0,0,20,Raises the user's Sp. Def by 2.
Ancient Power,Rock,Physical,60,100,5,10% chance to raise all stats by 1 (not acc/eva).
Attract,Normal,Non-Damaging,0,100,15,A target of the opposite gender gets infatuated.
Aurora Beam,Ice,Special,65,100,20,10% chance to lower the target's Attack by 1.
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.
Barrier,Psychic,Non-Damaging,0,0,30,Raises the user's Defense by 2.
Baton Pass,Normal,Non-Damaging,0,0,40,"User switches, passing stat changes and more."
Beat Up,Dark,Special,10,100,10,All healthy allies aid in damaging the target.
Belly Drum,Normal,Non-Damaging,0,0,10,User loses 50% max HP. Maximizes Attack.
Bide,Normal,Physical,0,100,10,Waits 2-3 turns; deals double the damage taken.
Bind,Normal,Physical,15,75,20,Traps and damages the target for 2-5 turns.
Bite,Dark,Special,60,100,25,30% chance to make the target flinch.
Blizzard,Ice,Special,120,70,5,10% chance to freeze the target.
Body Slam,Normal,Physical,85,100,15,30% chance to paralyze the target.
Bone Club,Ground,Physical,65,85,20,10% chance to make the target flinch.
Bone Rush,Ground,Physical,25,80,10,Hits 2-5 times in one turn.
Bonemerang,Ground,Physical,50,90,10,Hits 2 times in one turn.
Bubble,Water,Special,20,100,30,10% chance to lower the target's Speed by 1.
Bubble Beam,Water,Special,65,100,20,10% chance to lower the target's Speed by 1.
Charm,Normal,Non-Damaging,0,100,20,Lowers the target's Attack by 2.
Clamp,Water,Special,35,75,10,Traps and damages the target for 2-5 turns.
Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.
Confuse Ray,Ghost,Non-Damaging,0,100,10,Confuses the target.
Confusion,Psychic,Special,50,100,25,10% chance to confuse the target.
Constrict,Normal,Physical,10,100,35,10% chance to lower the target's Speed by 1.
Conversion,Normal,Non-Damaging,0,0,30,Changes user's type to match a known move.
Conversion 2,Normal,Non-Damaging,0,0,30,Changes user's type to resist the foe's last move.
Cotton Spore,Grass,Non-Damaging,0,85,40,Lowers the target's Speed by 2.
Counter,Fighting,Physical,0,100,20,"If hit by physical attack, returns double damage."
Crabhammer,Water,Special,90,85,10,High critical hit ratio.
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.
