name,description
Fire Stone,Evolves certain species of Pokemon when used.
Great Ball,A high-performance Ball that provides a higher catch rate than a Poke Ball.
Leaf Stone,Evolves certain species of Pokemon when used.
Master Ball,The best Ball with the ultimate performance. It will catch any wild Pokemon.
Moon Stone,Evolves certain species of Pokemon when used.
Poke Ball,A device for catching wild Pokemon. It is designed as a capsule system.
Safari Ball,A special Poke Ball that is used only in the Safari Zone and Great Marsh.
Thunder Stone,Evolves certain species of Pokemon when used.
Ultra Ball,An ultra-performance Ball that provides a higher catch rate than a Great Ball.
Water Stone,Evolves certain species of Pokemon when used.
